sampleID	Metadata	Level	Rank_code	Rank_I	Rank_II	Rank_III	Rank_IV	Rank_V	ARGs_unranked	Total_abu
da0001	None	Level 3	0.3-0.0-0.0-1.0-2.8-0.6	3.3E-03	6.5E-04	0.0E+00	3.7E-01	4.3E-01	2.0E-01	4.6E+02
bm0013	None	Level 2	0.8-0.6-0.0-1.2-2.6-0.3	9.7E-03	2.4E-02	4.6E-04	4.4E-01	4.0E-01	1.2E-01	1.8E+02
cu0001	None	Level 3	0.5-2.2-0.0-1.3-2.4-0.2	5.7E-03	8.6E-02	0.0E+00	4.8E-01	3.7E-01	5.5E-02	3.6E+02
ac0038	None	Level 2	2.4-0.0-0.0-0.6-4.3-0.2	3.1E-02	0.0E+00	0.0E+00	2.2E-01	6.7E-01	8.3E-02	2.4E+02
am0001	None	Level 2	1.1-0.0-0.0-1.2-3.0-0.2	1.4E-02	0.0E+00	0.0E+00	4.5E-01	4.6E-01	7.1E-02	2.1E+02
cx0014	None	Level 3	0.2-0.0-0.0-1.3-1.6-0.7	2.3E-03	3.7E-04	5.0E-05	4.8E-01	2.4E-01	2.7E-01	7.2E+02
cp0009	None	Level 3	0.2-0.0-0.0-0.7-3.1-0.7	2.2E-03	0.0E+00	4.7E-04	2.8E-01	4.8E-01	2.4E-01	4.2E+02
al0025	None	Level 3	0.1-0.0-0.0-1.4-1.7-0.5	1.5E-03	1.3E-03	0.0E+00	5.3E-01	2.7E-01	2.0E-01	1.7E+02
av0107	None	Level 3	0.2-0.0-0.0-1.1-2.7-0.4	2.4E-03	0.0E+00	2.5E-04	4.4E-01	4.2E-01	1.5E-01	1.8E+02
as0033	None	Level 2	0.8-1.1-0.0-1.2-2.7-0.2	1.1E-02	4.2E-02	1.0E-03	4.6E-01	4.1E-01	7.1E-02	3.7E+02
dk0001	None	Level 2	0.5-0.0-0.0-1.2-2.0-0.6	6.8E-03	0.0E+00	0.0E+00	4.5E-01	3.1E-01	2.4E-01	6.2E+02
cn0006	None	Level 2	1.2-0.0-0.0-1.2-2.0-0.6	1.5E-02	0.0E+00	0.0E+00	4.5E-01	3.1E-01	2.3E-01	5.5E+02
at0044	None	Level 3	0.1-0.0-0.0-0.7-4.3-0.2	1.2E-03	6.9E-04	0.0E+00	2.8E-01	6.6E-01	5.6E-02	1.3E+03
